ID_TIEMPO,ANIO,ID_MES,DESC_MES,ID_DIA,DESC_DIA,ID_DIA_SEMANA,ID_HORA
112,2023,1,ENERO,5,JUEVES,3,15
113,2023,1,ENERO,5,JUEVES,3,16
114,2023,1,ENERO,5,JUEVES,3,17
115,2023,1,ENERO,5,JUEVES,3,18
116,2023,1,ENERO,5,JUEVES,3,19
117,2023,1,ENERO,5,JUEVES,3,20
118,2023,1,ENERO,5,JUEVES,3,21
119,2023,1,ENERO,5,JUEVES,3,22
120,2023,1,ENERO,5,JUEVES,3,23
121,2023,1,ENERO,6,VIERNES,4,0
122,2023,1,ENERO,6,VIERNES,4,1
123,2023,1,ENERO,6,VIERNES,4,2
124,2023,1,ENERO,6,VIERNES,4,3
125,2023,1,ENERO,6,VIERNES,4,4
126,2023,1,ENERO,6,VIERNES,4,5
127,2023,1,ENERO,6,VIERNES,4,6
