ID_UBICACION,DS_BARRIO,DS_CIUDAD_BARRIO,ID_COMUNA,DS_COMUNA
71,VILLA SANTA RITA,CIUDAD AUTÓNOMA DE BUENOS AIRES,8,Comuna 8
72,LINIERS,CIUDAD AUTÓNOMA DE BUENOS AIRES,9,Comuna 9
73,MATADEROS,CIUDAD AUTÓNOMA DE BUENOS AIRES,9,Comuna 9
74,PARQUE AVELLANEDA,CIUDAD AUTÓNOMA DE BUENOS AIRES,9,Comuna 9
75,VILLA LUGANO,CIUDAD AUTÓNOMA DE BUENOS AIRES,9,Comuna 9
76,SIN INFORMACION,CIUDAD AUTÓNOMA DE BUENOS AIRES,9,Comuna 9
77,FLORES,CIUDAD AUTÓNOMA DE BUENOS AIRES,9,Comuna 9
78,VERSALLES,CIUDAD AUTÓNOMA DE BUENOS AIRES,9,Comuna 9
79,MONTE CASTRO,CIUDAD AUTÓNOMA DE BUENOS AIRES,10,Comuna 10
80,FLORESTA,CIUDAD AUTÓNOMA DE BUENOS AIRES,10,Comuna 10
81,VELEZ SARSFIELD,CIUDAD AUTÓNOMA DE BUENOS AIRES,10,Comuna 10
82,VILLA LURO,CIUDAD AUTÓNOMA DE BUENOS AIRES,10,Comuna 10
83,VILLA REAL,CIUDAD AUTÓNOMA DE BUENOS AIRES,10,Comuna 10
84,VERSALLES,CIUDAD AUTÓNOMA DE BUENOS AIRES,10,Comuna 10
85,PARQUE AVELLANEDA,CIUDAD AUTÓNOMA DE BUENOS AIRES,10,Comuna 10
86,VILLA DEVOTO,CIUDAD AUTÓNOMA DE BUENOS AIRES,10,Comuna 10
87,MATADEROS,CIUDAD AUTÓNOMA DE BUENOS AIRES,10,Comuna 10
88,LINIERS,CIUDAD AUTÓNOMA DE BUENOS AIRES,10,Comuna 10
89,SIN INFORMACION,CIUDAD AUTÓNOMA DE BUENOS AIRES,10,Comuna 10
90,FLORES,CIUDAD AUTÓNOMA DE BUENOS AIRES,10,Comuna 10
91,VILLA DEL PARQUE,CIUDAD AUTÓNOMA DE BUENOS AIRES,11,Comuna 11
92,VILLA DEVOTO,CIUDAD AUTÓNOMA DE BUENOS AIRES,11,Comuna 11
93,CABALLITO,CIUDAD AUTÓNOMA DE BUENOS AIRES,11,Comuna 11
94,VILLA GENERAL MITRE,CIUDAD AUTÓNOMA DE BUENOS AIRES,11,Comuna 11
95,FLORES,CIUDAD AUTÓNOMA DE BUENOS AIRES,11,Comuna 11
96,VILLA SANTA RITA,CIUDAD AUTÓNOMA DE BUENOS AIRES,11,Comuna 11
97,FLORESTA,CIUDAD AUTÓNOMA DE BUENOS AIRES,11,Comuna 11
98,VILLA REAL,CIUDAD AUTÓNOMA DE BUENOS AIRES,11,Comuna 11
99,MONTE CASTRO,CIUDAD AUTÓNOMA DE BUENOS AIRES,11,Comuna 11
100,SIN INFORMACION,CIUDAD AUTÓNOMA DE BUENOS AIRES,11,Comuna 11
101,BANFIELD OESTE,CIUDAD AUTÓNOMA DE BUENOS AIRES,11,Comuna 11
102,SAAVEDRA,CIUDAD AUTÓNOMA DE BUENOS AIRES,12,Comuna 12
103,VILLA URQUIZA,CIUDAD AUTÓNOMA DE BUENOS AIRES,12,Comuna 12
104,SIN INFORMACION,CIUDAD AUTÓNOMA DE BUENOS AIRES,12,Comuna 12
105,VILLA PUEYRREDON,CIUDAD AUTÓNOMA DE BUENOS AIRES,12,Comuna 12
106,COGHLAN,CIUDAD AUTÓNOMA DE BUENOS AIRES,12,Comuna 12
107,BELGRANO,CIUDAD AUTÓNOMA DE BUENOS AIRES,12,Comuna 12
108,NUÑEZ,CIUDAD AUTÓNOMA DE BUENOS AIRES,12,Comuna 12
109,FLORIDA,CIUDAD AUTÓNOMA DE BUENOS AIRES,12,Comuna 12
110,BELGRANO,CIUDAD AUTÓNOMA DE BUENOS AIRES,13,Comuna 13
111,COLEGIALES,CIUDAD AUTÓNOMA DE BUENOS AIRES,13,Comuna 13
112,NUÑEZ,CIUDAD AUTÓNOMA DE BUENOS AIRES,13,Comuna 13
113,COGHLAN,CIUDAD AUTÓNOMA DE BUENOS AIRES,13,Comuna 13
114,PALERMO,CIUDAD AUTÓNOMA DE BUENOS AIRES,13,Comuna 13
115,FLORIDA,CIUDAD AUTÓNOMA DE BUENOS AIRES,13,Comuna 13
116,SIN INFORMACION,CIUDAD AUTÓNOMA DE BUENOS AIRES,13,Comuna 13
117,VILLA CRESPO,CIUDAD AUTÓNOMA DE BUENOS AIRES,13,Comuna 13
118,PALERMO,CIUDAD AUTÓNOMA DE BUENOS AIRES,14,Comuna 14
119,ALMAGRO,CIUDAD AUTÓNOMA DE BUENOS AIRES,14,Comuna 14
120,RECOLETA,CIUDAD AUTÓNOMA DE BUENOS AIRES,14,Comuna 14
121,SIN INFORMACION,CIUDAD AUTÓNOMA DE BUENOS AIRES,14,Comuna 14
122,BELGRANO,CIUDAD AUTÓNOMA DE BUENOS AIRES,14,Comuna 14
123,CHACARITA,CIUDAD AUTÓNOMA DE BUENOS AIRES,15,Comuna 15
124,VILLA CRESPO,CIUDAD AUTÓNOMA DE BUENOS AIRES,15,Comuna 15
125,VILLA ORTUZAR,CIUDAD AUTÓNOMA DE BUENOS AIRES,15,Comuna 15
126,PATERNAL,CIUDAD AUTÓNOMA DE BUENOS AIRES,15,Comuna 15
127,COLEGIALES,CIUDAD AUTÓNOMA DE BUENOS AIRES,15,Comuna 15
128,PARQUE CHAS,CIUDAD AUTÓNOMA DE BUENOS AIRES,15,Comuna 15
129,PALERMO,CIUDAD AUTÓNOMA DE BUENOS AIRES,15,Comuna 15
130,VILLA URQUIZA,CIUDAD AUTÓNOMA DE BUENOS AIRES,15,Comuna 15
131,AGRONOMIA,CIUDAD AUTÓNOMA DE BUENOS AIRES,15,Comuna 15
132,CABALLITO,CIUDAD AUTÓNOMA DE BUENOS AIRES,15,Comuna 15
133,ALMAGRO,CIUDAD AUTÓNOMA DE BUENOS AIRES,15,Comuna 15
134,VILLA PUEYRREDON,CIUDAD AUTÓNOMA DE BUENOS AIRES,15,Comuna 15
135,VILLA DEL PARQUE,CIUDAD AUTÓNOMA DE BUENOS AIRES,15,Comuna 15
136,VILLA DEVOTO,CIUDAD AUTÓNOMA DE BUENOS AIRES,15,Comuna 15
137,SIN INFORMACION,CIUDAD AUTÓNOMA DE BUENOS AIRES,15,Comuna 15
138,SIN INFORMACION,CIUDAD AUTÓNOMA DE BUENOS AIRES,16,SIN INFORMACION
